Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count
Agra,Traffic Control,Traffic Light Signal,Persons Killed,51.0
Agra,Traffic Control,Traffic Light Signal,Greviously Injured,280.0
Agra,Traffic Control,Traffic Light Signal,Minor Injury,156.0
Agra,Traffic Control,Traffic Light Signal,Total Injured,171.0
Agra,Traffic Control,Traffic Light Signal,Total number of Accidents,1244.0
Agra,Traffic Control,Stop Sign,Persons Killed,82.0
Agra,Traffic Control,Stop Sign,Greviously Injured,224.0
Agra,Traffic Control,Stop Sign,Minor Injury,380.0
Agra,Traffic Control,Stop Sign,Total Injured,558.0
Agra,Traffic Control,Stop Sign,Total number of Accidents,287.0
Agra,Traffic Control,Police Controlled,Persons Killed,99.0
Agra,Traffic Control,Police Controlled,Greviously Injured,161.0
Agra,Traffic Control,Police Controlled,Minor Injury,180.0
Agra,Traffic Control,Police Controlled,Total Injured,761.0
Agra,Traffic Control,Police Controlled,Total number of Accidents,969.0
Agra,Traffic Control,Flashing Signal/Blinker,Persons Killed,87.0
Agra,Traffic Control,Flashing Signal/Blinker,Greviously Injured,201.0
Agra,Traffic Control,Flashing Signal/Blinker,Minor Injury,493.0
Agra,Traffic Control,Flashing Signal/Blinker,Total Injured,376.0
Agra,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,1384.0
Agra,Junction,Four arm Junction,Persons Killed,75.0
Agra,Junction,Four arm Junction,Greviously Injured,31.0
Agra,Junction,Four arm Junction,Minor Injury,302.0
Agra,Junction,Four arm Junction,Total Injured,660.0
Agra,Junction,Four arm Junction,Total number of Accidents,674.0
Agra,Junction,T Junction,Persons Killed,58.0
Agra,Junction,T Junction,Greviously Injured,179.0
Agra,Junction,T Junction,Minor Injury,237.0
Agra,Junction,T Junction,Total Injured,289.0
Agra,Junction,T Junction,Total number of Accidents,1157.0
Agra,Junction,Y Junction,Persons Killed,46.0
Agra,Junction,Y Junction,Greviously Injured,60.0
Agra,Junction,Y Junction,Minor Injury,413.0
Agra,Junction,Y Junction,Total Injured,666.0
Agra,Junction,Y Junction,Total number of Accidents,1467.0
Agra,Junction,Round about Junction,Persons Killed,63.0
Agra,Junction,Round about Junction,Greviously Injured,140.0
Agra,Junction,Round about Junction,Minor Injury,356.0
Agra,Junction,Round about Junction,Total Injured,746.0
Agra,Junction,Round about Junction,Total number of Accidents,220.0
Agra,Junction,Uncontrolled,Persons Killed,72.0
Agra,Junction,Uncontrolled,Greviously Injured,176.0
Agra,Junction,Uncontrolled,Minor Injury,323.0
Agra,Junction,Uncontrolled,Total Injured,487.0
Agra,Junction,Uncontrolled,Total number of Accidents,800.0
Agra,Road Features,Straight Road,Persons Killed,59.0
Agra,Road Features,Straight Road,Greviously Injured,23.0
Agra,Road Features,Straight Road,Minor Injury,291.0
Agra,Road Features,Straight Road,Total Injured,445.0
Agra,Road Features,Straight Road,Total number of Accidents,764.0
Agra,Road Features,Curved Road,Persons Killed,1.0
Agra,Road Features,Curved Road,Greviously Injured,101.0
Agra,Road Features,Curved Road,Minor Injury,416.0
Agra,Road Features,Curved Road,Total Injured,554.0
Agra,Road Features,Curved Road,Total number of Accidents,708.0
Agra,Road Features,Bridge,Persons Killed,7.0
Agra,Road Features,Bridge,Greviously Injured,44.0
Agra,Road Features,Bridge,Minor Injury,255.0
Agra,Road Features,Bridge,Total Injured,180.0
Agra,Road Features,Bridge,Total number of Accidents,1225.0
Agra,Road Features,Pot Holes,Persons Killed,5.0
Agra,Road Features,Pot Holes,Greviously Injured,63.0
Agra,Road Features,Pot Holes,Minor Injury,155.0
Agra,Road Features,Pot Holes,Total Injured,576.0
Agra,Road Features,Pot Holes,Total number of Accidents,902.0
Agra,Road Features,Steep Grade,Persons Killed,17.0
Agra,Road Features,Steep Grade,Greviously Injured,227.0
Agra,Road Features,Steep Grade,Minor Injury,93.0
Agra,Road Features,Steep Grade,Total Injured,261.0
Agra,Road Features,Steep Grade,Total number of Accidents,401.0
