Million Plus Cities,Total_Accidents,Average_Count,Number_of_Records
Bengaluru,56114.0,400.81,140
Ahmedabad,54335.0,388.11,140
Kochi,53417.0,381.55,140
Rajkot,53205.0,380.04,140
Bhopal,53021.0,378.72,140
Indore,52644.0,376.03,140
Surat,52521.0,375.15,140
Coimbatore,51976.0,371.26,140
Nagpur,51451.0,367.51,140
Kota,51387.0,367.05,140
Pune,51236.0,365.97,140
Visakhapatnam,51167.0,365.48,140
Ghaziabad,50960.0,364.0,140
Mumbai,50862.0,363.3,140
Delhi,50099.0,357.85,140
Raipur,49926.0,356.61,140
Jodhpur,49831.0,355.94,140
Patna,49648.0,354.63,140
Ludhiana,49645.0,354.61,140
Agra,49629.0,354.49,140
Madurai,49431.0,353.08,140
Kolkata,48298.0,344.99,140
Gwalior,47768.0,341.2,140
Chennai,47695.0,340.68,140
Lucknow,47640.0,340.29,140
Vadodara,46718.0,333.7,140
Kanpur,46698.0,333.56,140
Chandigarh,46304.0,330.74,140
Hyderabad,44971.0,321.22,140
Jaipur,44462.0,317.59,140
