Cause Subcategory,Count
Drunken Driving,56639.0
Stop Sign,56315.0
Police Controlled,56009.0
Trucks/Lorries,55738.0
Straight Road,55598.0
Hail/Sleet,55274.0
Uncontrolled,55125.0
Pot Holes,54863.0
T Junction,54738.0
Jumping Red Light,54680.0
Two Wheelers,54562.0
Sunny/Clear,54458.0
Bridge,54176.0
Rainy,54104.0
Y Junction,54095.0
Traffic Light Signal,53915.0
Round about Junction,53503.0
Use of Mobile Phone,53170.0
Four arm Junction,52631.0
Foggy and Misty,52580.0
Wrong Side Driving,52522.0
Over Speeding,52231.0
Cars/Taxis/Vans,52153.0
Buses,51769.0
Flashing Signal/Blinker,51501.0
Pedestrian,50496.0
Steep Grade,50403.0
Curved Road,49811.0
